County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,DOL Vehicle ID,Vehicle Location,Electric Utility
India,Mumbai,Maharashtra,663044,2018,Tata Motors,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,243,3828009,100071,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,525695,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Not Eligible,175,1300573,100072,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,286141,2018,BYD India,450X,Battery Electric Vehicle (BEV),Not Eligible,434,3411720,100073,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,664242,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,476,966234,100074,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,575853,2018,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,344,4104891,100075,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,727083,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,452,1939458,100076,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,887494,2018,Ather Energy,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,223,3286488,100077,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,138102,2018,MG Motor India,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,201,1433636,100078,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,331915,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,153,1113945,100079,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,455249,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,249,1618216,100080,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,113807,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Not Eligible,418,1976871,100081,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,977699,2018,Ola Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,296,1294540,100082,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,743162,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,261,926790,100083,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,748249,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,220,1690141,100084,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,966651,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,466,2450284,100085,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,476965,2018,Tata Motors,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,501,4288532,100086,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,586261,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Not Eligible,228,2755567,100087,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,738353,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,99,1927512,100088,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,468501,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,452,3631573,100089,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,488043,2018,Mahindra Electric,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,351,3542887,100090,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,446809,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,169,3361319,100091,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,802965,2018,Ola Electric,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,271,1397562,100092,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,182844,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,299,2832015,100093,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,675278,2018,Ather Energy,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,335,1363556,100094,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,625303,2018,TVS Motor,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,444,4214692,100095,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,385977,2018,MG Motor India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,346,2535156,100096,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,205570,2018,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,496,3859464,100097,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,765220,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,276,3881726,100098,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,808690,2018,BYD India,450X,Battery Electric Vehicle (BEV),Eligible,281,1063273,100099,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,943523,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,252,3931756,100100,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,900921,2018,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,174,2086887,100101,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,960395,2018,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,347,1540053,100102,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,639542,2018,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,334,2885838,100103,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,427359,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,182,3602757,100104,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,555102,2018,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,414,1680722,100105,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,807689,2018,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,109,970390,100106,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,906395,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,480,2459312,100107,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,529802,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,284,1528861,100108,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,302846,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,262,4257519,100109,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,463714,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,274,2163455,100110,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,211195,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,356,2429297,100111,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,249849,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,312,3145131,100112,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,503704,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,152,3020473,100113,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,283868,2018,BYD India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,398,2329551,100114,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,575774,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Not Eligible,332,2467438,100115,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,772108,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,295,4290849,100116,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,971149,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,190,3866422,100117,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,266926,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,306,3818258,100118,"Mumbai, Maharashtra",UPPCL
India,Pune,Maharashtra,550009,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,310,2348021,100119,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,567010,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,147,3529001,100120,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,435623,2018,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,113,1437198,100121,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,809913,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,85,1902163,100122,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,814016,2018,TVS Motor,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,308,1321240,100123,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,287210,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,83,1894653,100124,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,856254,2018,BYD India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,326,1318034,100125,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,222883,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,299,2632682,100126,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,859224,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,514,3257821,100127,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,928533,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,379,3134693,100128,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,204537,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,126,1754016,100129,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,609930,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,435,2316012,100130,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,401953,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,486,1303081,100131,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,872042,2018,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,408,2885296,100132,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,327645,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,384,1507812,100133,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,435842,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,216,3343851,100134,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,158596,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,346,2383624,100135,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,599097,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,418,1579290,100136,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,830406,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,375,4236007,100137,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,502400,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,142,4195374,100138,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,192263,2018,BYD India,Atto 3,Battery Electric Vehicle (BEV),Eligible,388,1853959,100139,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,580703,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,258,2438601,100140,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,675644,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,490,3095875,100141,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,954211,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,368,2314397,100142,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,254782,2018,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,197,2396972,100143,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,164772,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,236,4327975,100144,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,532882,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,174,4277778,100145,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,114153,2018,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,90,1288349,100146,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,233515,2018,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,381,3874058,100147,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,913738,2018,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,183,1130203,100148,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,100126,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,372,1790695,100149,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,275399,2018,BYD India,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,130,1398716,100150,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,232717,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,484,2967801,100151,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,430388,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,450,2854727,100152,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,113224,2018,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,196,1784377,100153,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,632954,2018,Tata Motors,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,465,2074737,100154,"Pune, Maharashtra",Adani Electricity
India,Pune,Maharashtra,871253,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,330,1896530,100155,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,194270,2018,Hyundai EV,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,256,1854652,100156,"Pune, Maharashtra",BESCOM
India,Pune,Maharashtra,119816,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,416,1470451,100157,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,251878,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,439,1938896,100158,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,193501,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,519,3448434,100159,"Pune, Maharashtra",UPPCL
India,Pune,Maharashtra,320178,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,223,2566471,100160,"Pune, Maharashtra",GUVNL
India,Pune,Maharashtra,897917,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,192,2499601,100161,"Pune, Maharashtra",TPDDL
India,Pune,Maharashtra,178623,2018,Tata Motors,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,438,2259490,100162,"Pune, Maharashtra",TNEB
India,Pune,Maharashtra,730235,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,166,2685910,100163,"Pune, Maharashtra",UPPCL
